日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-02-01|2020-02-29,手机配件,468818,66.20%,73104,53.46%
2020-02-01|2020-02-29,USB数码周边,217712,30.74%,11998,8.77%
2020-02-01|2020-02-29,笔记本电脑配件,191783,27.08%,15702,11.48%
2020-02-01|2020-02-29,单反/单电相机配件,185175,26.15%,11644,8.52%
2020-02-01|2020-02-29,数码周边,141693,20.01%,16757,12.25%
2020-02-01|2020-02-29,数码包/收纳/整理,102840,14.52%,6522,4.77%
2020-02-01|2020-02-29,家电影音周边配件,101564,14.34%,9005,6.59%
2020-02-01|2020-02-29,车载手机配件,98789,13.95%,4890,3.58%
2020-02-01|2020-02-29,平板电脑配件,85215,12.03%,8148,5.96%
2020-02-01|2020-02-29,干电池/充电电池/套装,76929,10.86%,9889,7.23%
2020-02-01|2020-02-29,其它配件,74819,10.56%,7444,5.44%
2020-02-01|2020-02-29,MP3/MP4配件,70275,9.92%,7152,5.23%
2020-02-01|2020-02-29,便携电源,65354,9.23%,6232,4.56%
2020-02-01|2020-02-29,胶片相机配件,52436,7.40%,1873,1.37%
2020-02-01|2020-02-29,数码相机配件,42612,6.02%,2657,1.94%
2020-02-01|2020-02-29,摄像机配件,19049,2.69%,1464,1.07%
2020-02-01|2020-02-29,电子书配件,16557,2.34%,1140,0.83%
2020-02-01|2020-02-29,数码相框,5660,0.80%,97,0.07%
2020-02-01|2020-02-29,电教产品配件,4479,0.63%,407,0.30%
2020-02-01|2020-02-29,3G无线上网卡设备,1510,0.21%,109,0.08%
