日期,省份,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-05-01|2020-05-31,广东省,164491,24.19%,82306,43.31%
2020-05-01|2020-05-31,河南省,50898,7.49%,12216,6.43%
2020-05-01|2020-05-31,浙江省,46522,6.84%,17340,9.13%
2020-05-01|2020-05-31,江苏省,25935,3.81%,9797,5.16%
2020-05-01|2020-05-31,山东省,22212,3.27%,7175,3.78%
2020-05-01|2020-05-31,上海,19081,2.81%,7515,3.95%
2020-05-01|2020-05-31,北京,18591,2.73%,6472,3.41%
2020-05-01|2020-05-31,福建省,16779,2.47%,5597,2.95%
2020-05-01|2020-05-31,河北省,15107,2.22%,4881,2.57%
2020-05-01|2020-05-31,湖北省,12126,1.78%,4052,2.13%
2020-05-01|2020-05-31,湖南省,11870,1.75%,3319,1.75%
2020-05-01|2020-05-31,江西省,9399,1.38%,3131,1.65%
2020-05-01|2020-05-31,四川省,9337,1.37%,3188,1.68%
2020-05-01|2020-05-31,安徽省,9283,1.37%,3545,1.87%
2020-05-01|2020-05-31,山西省,8628,1.27%,2227,1.17%
2020-05-01|2020-05-31,广西壮族自治区,6734,0.99%,2344,1.23%
2020-05-01|2020-05-31,香港特别行政区,6629,0.97%,1669,0.88%
2020-05-01|2020-05-31,辽宁省,5968,0.88%,1944,1.02%
2020-05-01|2020-05-31,陕西省,4896,0.72%,1343,0.71%
2020-05-01|2020-05-31,重庆,3840,0.56%,1239,0.65%
2020-05-01|2020-05-31,贵州省,3640,0.54%,884,0.47%
2020-05-01|2020-05-31,天津,3438,0.51%,999,0.53%
2020-05-01|2020-05-31,云南省,3261,0.48%,952,0.50%
2020-05-01|2020-05-31,黑龙江省,3093,0.45%,895,0.47%
2020-05-01|2020-05-31,台湾,3051,0.45%,977,0.51%
2020-05-01|2020-05-31,澳门特别行政区,2193,0.32%,608,0.32%
2020-05-01|2020-05-31,吉林省,1850,0.27%,499,0.26%
2020-05-01|2020-05-31,内蒙古自治区,1610,0.24%,410,0.22%
2020-05-01|2020-05-31,新疆维吾尔自治区,1525,0.22%,435,0.23%
2020-05-01|2020-05-31,甘肃省,1070,0.16%,227,0.12%
2020-05-01|2020-05-31,海南省,732,0.11%,161,0.08%
2020-05-01|2020-05-31,宁夏回族自治区,354,0.05%,89,0.05%
2020-05-01|2020-05-31,西藏自治区,264,0.04%,70,0.04%
2020-05-01|2020-05-31,青海省,194,0.03%,38,0.02%
