日期,子行业,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2020-07-01|2020-07-31,手机配件,399072,60.29%,100404,52.91%
2020-07-01|2020-07-31,USB数码周边,221129,33.41%,34566,18.21%
2020-07-01|2020-07-31,单反/单电相机配件,156291,23.61%,21591,11.38%
2020-07-01|2020-07-31,笔记本电脑配件,151173,22.84%,25257,13.31%
2020-07-01|2020-07-31,数码周边,119763,18.09%,24341,12.83%
2020-07-01|2020-07-31,家电影音周边配件,81633,12.33%,13155,6.93%
2020-07-01|2020-07-31,数码包/收纳/整理,79107,11.95%,10122,5.33%
2020-07-01|2020-07-31,干电池/充电电池/套装,64229,9.70%,13715,7.23%
2020-07-01|2020-07-31,平板电脑配件,60113,9.08%,10382,5.47%
2020-07-01|2020-07-31,其它配件,59097,8.93%,10311,5.43%
2020-07-01|2020-07-31,MP3/MP4配件,52414,7.92%,9906,5.22%
2020-07-01|2020-07-31,便携电源,51862,7.84%,8727,4.60%
2020-07-01|2020-07-31,胶片相机配件,36943,5.58%,3385,1.78%
2020-07-01|2020-07-31,数码相机配件,30164,4.56%,3926,2.07%
2020-07-01|2020-07-31,车载手机配件,24458,3.69%,3368,1.77%
2020-07-01|2020-07-31,摄像机配件,18394,2.78%,2213,1.17%
2020-07-01|2020-07-31,电子书配件,11524,1.74%,1412,0.74%
2020-07-01|2020-07-31,数码相框,5100,0.77%,183,0.10%
2020-07-01|2020-07-31,电教产品配件,3334,0.50%,524,0.28%
2020-07-01|2020-07-31,3G无线上网卡设备,1169,0.18%,131,0.07%
2020-07-01|2020-07-31,数码家电保护贴,156,0.02%,30,0.02%
