日期,类目名,交易金额,交易增长幅度,支付金额较父行业占比,支付子订单数较父行业占比,卖家数,父行业卖家数占比,有交易卖家数,父行业有交易卖家数占比
2018-11-01|2018-11-30,手机配件,1538544841,11.32%,66.11%,75.67%,647821,72.18%,149658,61.31%
2018-11-01|2018-11-30,移动电源,224653762,32.50%,13.71%,4.51%,125017,13.93%,14162,5.80%
2018-11-01|2018-11-30,单反/单电相机配件,183185709,40.51%,11.13%,1.80%,262497,29.25%,19100,7.83%
2018-11-01|2018-11-30,笔记本电脑配件,176091298,11.41%,8.96%,2.98%,287488,32.03%,25668,10.52%
2018-11-01|2018-11-30,数码周边,131247265,21.76%,5.54%,4.48%,257207,28.66%,29053,11.90%
2018-11-01|2018-11-30,平板电脑配件,127542663,37.54%,5.11%,1.99%,177305,19.76%,14113,5.78%
2018-11-01|2018-11-30,USB数码周边,124923195,48.41%,4.89%,1.69%,313554,34.94%,20262,8.30%
2018-11-01|2018-11-30,干电池/充电电池/套装,100844617,25.57%,2.96%,2.41%,119998,13.37%,15448,6.33%
2018-11-01|2018-11-30,其它配件,53896041,11.75%,0.88%,0.48%,137494,15.32%,13443,5.51%
2018-11-01|2018-11-30,家电影音周边配件,52385749,11.44%,0.88%,1.15%,185235,20.64%,15507,6.35%
2018-11-01|2018-11-30,数码相机配件,29216743,34.92%,0.45%,0.23%,68277,7.61%,4462,1.83%
2018-11-01|2018-11-30,数码包/收纳/整理,26399341,42.61%,0.40%,1.34%,167924,18.71%,11437,4.69%
2018-11-01|2018-11-30,MP3/MP4配件,21834472,17.69%,0.35%,0.63%,95254,10.61%,7725,3.16%
2018-11-01|2018-11-30,胶片相机配件,19382974,45.18%,0.33%,0.21%,90359,10.07%,2402,0.98%
2018-11-01|2018-11-30,摄像机配件,18759188,34.09%,0.32%,0.06%,34840,3.88%,2871,1.18%
2018-11-01|2018-11-30,车载手机配件,14270506,26.44%,0.13%,0.25%,173859,19.37%,9740,3.99%
2018-11-01|2018-11-30,电子书配件,3587183,36.96%,0.03%,0.12%,25228,2.81%,1569,0.64%
2018-11-01|2018-11-30,数码相框,3041184,44.33%,0.03%,0.00,8500,0.95%,201,0.08%
2018-11-01|2018-11-30,3G无线上网卡设备,2331160,18.74%,0.02%,0.01%,3009,0.34%,241,0.10%
2018-11-01|2018-11-30,电教产品配件,872972,-23.07%,0.01%,0.01%,17711,1.97%,662,0.27%
