类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值,开始日期,结束日期
手机保护套/壳,27524495,503205377,82138973,38.16,70.34,52.07,11.2,18.28,6.13,2017-10-01,2017-10-31
手机贴膜,18384095,190704104,26656100,11.79,28.26,25.05,16.74,10.37,7.15,2017-10-01,2017-10-31
手机零部件,2125787,189281648,15767938,11.72,12.75,5.28,11.7,89.04,12.0,2017-10-01,2017-10-31
移动电源,2801112,188888518,14276910,11.7,27.56,7.22,11.89,67.43,13.23,2017-10-01,2017-10-31
手机数据线,4178627,153248705,10788473,8.04,68.09,11.07,22.33,36.67,14.2,2017-10-01,2017-10-31
笔记本零部件,239344,86347867,1207958,2.96,-2.5,0.21,-20.65,360.77,71.48,2017-10-01,2017-10-31
手机电池,853572,78580857,3982661,2.83,38.11,1.56,-0.59,92.06,19.73,2017-10-01,2017-10-31
数据线,3271462,78067182,7410391,2.83,42.05,7.77,27.82,23.86,10.53,2017-10-01,2017-10-31
手机充电器,1330220,77197180,4993601,2.83,32.6,2.82,11.09,58.03,15.46,2017-10-01,2017-10-31
平板电脑保护套/壳,1103338,70329290,3579853,2.25,0.04,2.14,-14.27,63.74,19.65,2017-10-01,2017-10-31
手机支架/手机座,2056169,57467181,5565628,1.56,30.77,4.88,-32.06,27.95,10.33,2017-10-01,2017-10-31
其它配件,394854,52632314,3485549,1.12,377.0,0.36,416.16,133.3,15.1,2017-10-01,2017-10-31
笔记本电脑包,424280,32508990,2051460,0.81,8.33,0.39,11.26,76.62,15.85,2017-10-01,2017-10-31
影室灯,32148,25908355,314489,0.47,38.95,0.02,12.17,805.91,82.38,2017-10-01,2017-10-31
普通干电池,500784,20603540,1304728,0.4,41.98,0.59,38.96,41.14,15.79,2017-10-01,2017-10-31
云台,17641,19416138,299515,0.4,393.2,0.01,309.47,1100.63,64.83,2017-10-01,2017-10-31
自拍杆/架,306814,18530392,1149637,0.35,-3.52,0.31,-32.67,60.4,16.12,2017-10-01,2017-10-31
脚架,50911,17907471,429539,0.33,-14.31,0.03,-20.34,351.74,41.69,2017-10-01,2017-10-31
背景布类,187987,17803243,1660045,0.33,54.16,0.11,65.6,94.7,10.72,2017-10-01,2017-10-31
摄像机配件,26757,17519006,448005,0.33,27.73,0.02,65.67,654.74,39.1,2017-10-01,2017-10-31
遥控设备,480702,17434687,1365252,0.33,27.72,0.5,39.14,36.27,12.77,2017-10-01,2017-10-31
笔记本电池,59273,17347900,332001,0.32,11.38,0.04,11.25,292.68,52.25,2017-10-01,2017-10-31
纽扣电池,530707,16854904,1277915,0.32,36.69,0.67,42.18,31.76,13.19,2017-10-01,2017-10-31
笔记本电源,84782,15415022,447054,0.31,-5.51,0.06,-3.74,181.82,34.48,2017-10-01,2017-10-31
手机镜头,96610,15030198,944528,0.31,68.26,0.08,72.27,155.58,15.91,2017-10-01,2017-10-31
通用电池充电套装,212986,14913013,451959,0.31,11.06,0.12,-6.8,70.02,33.0,2017-10-01,2017-10-31
USB HUB/转换器,173714,14120595,603275,0.3,39.2,0.11,0.62,81.29,23.41,2017-10-01,2017-10-31
