日期,类目名称,买家数,成交金额,搜索人数,成交金额占比,成交金额同比,成交人数占比,成交人数同比,客单价,UV价值
2019-06-01|2019-06-30,手机保护套/壳,26020459,404690859,37252933,25.39%,0.04%,48.55%,8.39%,15.55,10.86
2019-06-01|2019-06-30,手机贴膜,19007166,217083084,21504115,13.16%,18.62%,26.67%,11.72%,11.42,10.09
2019-06-01|2019-06-30,移动电源,3330115,192537333,9365502,11.72%,-0.59%,8.17%,6.75%,57.82,20.56
2019-06-01|2019-06-30,手机零部件,1412939,187313371,5558161,11.24%,-0.32%,2.99%,3.46%,132.57,33.70
2019-06-01|2019-06-30,USB风扇,4074033,169734931,14792167,8.25%,85.40%,11.14%,87.83%,41.66,11.47
2019-06-01|2019-06-30,手机数据线,6299748,156835938,9157062,7.79%,7.79%,11.87%,52.69%,24.90,17.13
2019-06-01|2019-06-30,手机充电器,2156447,110745223,5438930,4.57%,-0.94%,6.14%,6.36%,51.36,20.36
2019-06-01|2019-06-30,手机支架/手机座,2728657,98838383,5690252,3.00%,25.59%,7.72%,25.40%,36.22,17.37
2019-06-01|2019-06-30,平板电脑保护套/壳,1468064,93323885,2987423,2.90%,33.52%,3.01%,24.62%,63.57,31.24
2019-06-01|2019-06-30,数据线,3476027,82856971,5575674,2.14%,22.06%,8.66%,27.79%,23.84,14.86
2019-06-01|2019-06-30,手机电池,592577,63999067,2230676,1.05%,-18.10%,0.88%,-16.53%,108.00,28.69
2019-06-01|2019-06-30,云台,51162,53571828,473115,0.91%,65.95%,0.03%,110.91%,1047.10,113.23
2019-06-01|2019-06-30,笔记本零部件,97740,52382825,1416998,0.91%,-10.97%,0.09%,38.74%,535.94,36.97
2019-06-01|2019-06-30,耳机保护套,1142779,47134801,2694449,0.84%,142.83%,2.84%,341.10%,41.25,17.49
2019-06-01|2019-06-30,影室灯,43237,47060928,262112,0.84%,27.95%,0.03%,6.64%,1088.44,179.55
2019-06-01|2019-06-30,其它配件,309054,38404747,2107183,0.81%,-17.46%,0.33%,11.60%,124.27,18.23
2019-06-01|2019-06-30,笔记本电脑包,452601,36287176,1823804,0.77%,21.05%,0.47%,24.81%,80.17,19.90
2019-06-01|2019-06-30,手写笔,132282,32515077,611393,0.62%,128.82%,0.12%,111.14%,245.80,53.18
2019-06-01|2019-06-30,普通干电池,748289,32086988,1284375,0.57%,8.98%,1.26%,18.79%,42.88,24.98
2019-06-01|2019-06-30,遥控设备,1344419,31316055,2123627,0.53%,22.94%,2.94%,24.50%,23.29,14.75
2019-06-01|2019-06-30,背景布类,299422,29055108,1031488,0.47%,32.13%,0.32%,25.17%,97.04,28.17
2019-06-01|2019-06-30,手机镜头,226001,28414431,815736,0.47%,-18.19%,0.26%,-7.01%,125.73,34.83
2019-06-01|2019-06-30,自拍杆/架,445215,27682966,926431,0.45%,-0.26%,0.46%,-8.47%,62.18,29.88
2019-06-01|2019-06-30,USB HUB/转换器,299440,26159694,745163,0.40%,29.34%,0.32%,27.40%,87.36,35.11
2019-06-01|2019-06-30,脚架,53874,19559889,378922,0.35%,11.23%,0.04%,21.40%,363.07,51.62
2019-06-01|2019-06-30,笔记本电池,63402,19080599,301108,0.34%,37.01%,0.04%,38.09%,300.95,63.37
2019-06-01|2019-06-30,纽扣电池,518017,17149629,826716,0.30%,28.21%,0.81%,31.17%,33.11,20.74
2019-06-01|2019-06-30,笔记本电源,96123,16996473,426895,0.30%,22.47%,0.08%,23.71%,176.82,39.81
2019-06-01|2019-06-30,数码相机包,65847,16848074,393274,0.28%,7.98%,0.05%,5.99%,255.87,42.84
2019-06-01|2019-06-30,手机挂件/手机链,594261,16666578,2079097,0.28%,48.93%,0.88%,59.81%,28.05,8.02
2019-06-01|2019-06-30,摄像机配件,26757,16524047,352915,0.28%,-12.16%,0.02%,-6.91%,617.56,46.82
2019-06-01|2019-06-30,笔记本炫彩贴,240764,14158014,879455,0.21%,34.05%,0.30%,32.33%,58.80,16.10
2019-06-01|2019-06-30,通用电池充电套装,161796,14088887,410746,0.21%,11.82%,0.12%,-5.82%,87.08,34.30
2019-06-01|2019-06-30,USB电脑锁/防盗器,49955,13791629,233261,0.13%,58.59%,0.03%,99.04%,276.08,59.13
2019-06-01|2019-06-30,数码收纳整理包,372592,13179402,1144698,0.12%,17.66%,0.38%,62.90%,35.37,11.51
2019-06-01|2019-06-30,摄影棚,27167,11853812,96791,0.12%,23.44%,0.02%,11.21%,436.33,122.47
2019-06-01|2019-06-30,笔记本多功能支架/桌,96900,11737464,462849,0.12%,62.55%,0.08%,70.05%,121.13,25.36
2019-06-01|2019-06-30,笔记本散热器/降温卡,109884,11180952,553273,0.11%,11.37%,0.11%,6.37%,101.75,20.21
2019-06-01|2019-06-30,滤镜,43630,10471911,113896,0.11%,11.02%,0.03%,0.87%,240.02,91.94
2019-06-01|2019-06-30,苹果视频线/转换线,72962,9809868,440520,0.09%,5.38%,0.06%,40.38%,134.45,22.27
2019-06-01|2019-06-30,平板电脑屏幕贴膜,225628,9793100,457464,0.09%,38.70%,0.26%,1.32%,43.40,21.41
2019-06-01|2019-06-30,分配器/分频器/分支器,25721,8725404,91808,0.08%,-36.00%,0.02%,-21.60%,339.23,95.04
